0111	0112	843
0112	0113	880
0113	0114	1043
0114	0115	1278
0115	0116	1036
0116	0117	895
0117	0118	753
0118	0119	1004
0119	0120	621
0120	0121	585
0121	0122	857
0122	0123	687
0123	0124	548
0124	0125	618
0125	0126	429
0126	0127	826
0127	0128	908
0128	0129	573
0129	0130	926
0130	0131	952
0131	0132	861
0132	0133	920
0133	0134	604
0134	0135	1095
0135	0136	1026
0136	0137	814
0137	0138	779
0234	0235	1236
0235	0236	382
0236	0237	2508
0237	0238	877
0238	0239	791
0239	0240	1044
0240	0241	959
0241	0242	863
0242	0243	858
0243	0244	948
0244	0123	851
0123	0246	633
0246	0247	1114
0247	0248	759
0248	0249	783
0249	0250	1218
0250	0251	755
0251	0252	606
0252	0253	1795
0253	0254	885
0254	0255	1182
0255	0256	2110
0256	0257	1086
0257	0258	1180
0258	0259	1244
0259	0260	1484
0260	0261	2029
0261	0262	3200
0262	0263	1507
0115	0312	821
0312	0313	790
0313	0314	615
0314	0315	926
0315	0316	805
0316	0317	913
0317	0241	604
0241	0319	965
0319	0320	547
0320	0321	935
0321	0322	838
0322	0126	1020
0126	0324	1252
0324	0325	609
0325	0326	752
0326	0327	741
0327	0328	556
0328	0329	1103
0329	0330	990
0330	0331	931
0331	0332	1048
0332	0333	892
0333	0334	957
0334	0335	803
0335	0336	1075
0336	0337	632
0337	0338	875
0338	0339	1320
0117	0315	608
0315	0316	805
0316	0317	913
0317	0241	604
0241	0319	965
0319	0320	547
0320	0321	935
0321	0322	838
0322	0126	1020
0126	0324	1252
0324	0412	886
0412	0413	732
0413	0414	727
0414	0415	488
0415	0416	805
0416	0249	875
0249	0418	560
0418	0419	700
0419	0420	536
0420	0421	1155
0421	0422	757
0422	0423	916
0423	0424	716
0424	0425	572
0425	0426	736
0111	0502	886
0502	0503	668
0503	0505	1665
0505	0507	1583
0507	0508	1308
0508	0509	621
0509	0510	769
0510	0511	929
0511	0512	890
0512	0513	672
0621	0622	934
0622	0623	669
0623	0624	488
0624	0625	670
0625	0626	940
0626	0627	900
0627	0628	660
0628	0629	822
0629	0419	629
0419	0631	700
0631	0249	560
0249	0633	530
0633	0634	547
0634	0635	628
0635	0636	755
0636	0637	689
0637	0638	673
0638	0639	571
0639	0640	533
0640	0641	600
0641	0642	696
0642	0643	815
0643	0644	670
0644	0645	981
0645	0646	1098
0646	0647	963
0647	0648	817
0721	0722	1035
0722	0723	1670
0723	0724	608
0724	0725	1079
0727	0728	591
0728	0729	691
0729	0730	854
0730	0731	725
0731	0732	658
0732	0733	765
0733	0734	692
0734	0735	523
0735	0321	829
0321	0737	661
0737	0738	440
0738	0243	811
0243	0120	726
0120	0741	1004
0741	0425	623
0425	0743	433
0743	0744	1352
0744	0745	758
0745	0746	573
0746	0747	412
0747	0627	622
0627	0749	875
0749	0750	916
0750	0751	717
0751	0252	809
0252	0753	682
0820	0821	873
0821	0822	722
0822	0823	852
0823	0824	1644
0824	0825	1576
0825	0621	1030
0621	0827	936
0827	0828	722
0828	0746	496
0746	0830	500
0830	0422	1158
0422	0832	701
0832	0833	536
0833	0834	620
0834	0123	485
0123	0836	680
0836	0837	759
0837	0838	714
0838	0326	799
0326	0840	765
0840	0841	647
0841	0842	501
0842	0843	533
0843	0844	626
0844	0845	821
0845	0846	495
0846	0847	630
0847	0848	723
0848	0849	482
0918	0919	1110
0919	0920	1040
0920	0921	963
0921	0922	1654
0922	0923	2099
0923	0924	1393
0924	0925	2055
0925	0926	3706
0926	0927	1419
0927	0928	768
0928	0929	1169
0929	0930	1089
0930	0931	797
0931	0932	1298
0932	0315	953
0315	0118	791
0118	0741	816
0741	0936	682
0936	0937	530
0937	0938	495
0938	0832	597
0832	0940	806
0940	0941	1413
0941	0249	619
0249	0943	1291
1018	1019	636
1019	1020	619
1020	0235	3112
0235	0236	382
0236	1043	1165
1043	1044	1171
1044	1045	807
1045	1046	794
1046	1047	725
1047	1048	427
1048	0316	621
0316	1050	819
1050	1051	708
1051	0121	1164
0121	1053	863
1053	0833	525
0833	1055	694
1055	0246	658
0246	1057	509
1057	1058	480
1058	0412	607
0412	1060	709
1060	0841	626
0841	1062	610
1062	1063	538
1063	1064	625
1064	1065	354
1065	1066	765
1066	1067	635
1067	1068	462
1114	1115	910
1115	1116	2009
1116	1117	697
1117	1118	1119
1118	1119	1290
1119	1120	3032
1120	1131	4152
1131	1132	1131
1132	1133	2421
1133	1134	1207
1134	1135	1504
1137	1138	1890
1138	1139	969
1139	1140	767
1140	1141	843
1141	1142	918
1142	1143	842
1143	1144	621
1144	0320	452
0320	1146	659
1146	0242	900
0242	1050	1232
1050	0118	672
0118	1150	969
1150	1151	786
1151	1152	566
1152	1153	455
1153	0621	1329
0621	1155	1953
1155	1156	763
1156	1157	995
1157	1159	1955
1159	1160	1377
0116	0313	530
0313	1151	555
1151	0743	866
0743	0424	740
0424	0936	618
0936	0121	1002
0121	0244	871
0244	0125	811
0125	0836	772
0836	1057	650
1321	1322	927
1322	1323	1215
1323	1324	793
1324	1325	946
0319	1146	633
1053	0938	496
0745	0828	640
0828	0626	884
0243	0122	1605
0122	0834	470
0834	1055	478
1055	0247	1104
0943	0634	652
